행정코드	행정구역명	여부
1113076	연희동	Y
1113062	홍제1동	Y
1113062	홍제1동	Y
1113064	홍제3동	Y
1113065	홍제2동	Y
1113066	홍은1동	Y
1113066	홍은1동	Y
1113068	홍은2동	Y
1113069	남가좌1동	Y
1113070	남가좌2동	Y
1113071	북가좌1동	Y
1113072	북가좌2동	Y
11140	마포구	Y
1114077	공덕동	Y
1114077	공덕동	Y
1114077	공덕동	Y
1114078	아현동	Y
1114078	아현동	Y
1114078	아현동	Y
1114075	도화동	Y
1114075	도화동	Y
1114059	용강동	Y
1114060	대흥동	Y
1114060	대흥동	Y
1114061	염리동	Y
1114063	신수동	Y
1114076	서강동	Y
1114076	서강동	Y
1114066	서교동	Y
1114066	서교동	Y
1114068	합정동	Y
1114069	망원1동	Y
1114070	망원2동	Y
1114071	연남동	Y
1114072	성산1동	Y
1114073	성산2동	Y
1114074	상암동	Y
11150	양천구	Y
1115051	목1동	Y
1115052	목2동	Y
1115053	목3동	Y
1115054	목4동	Y
1115071	목5동	Y
1115071	목5동	Y
1115057	신월1동	Y
1115058	신월2동	Y
1115059	신월3동	Y
1115060	신월4동	Y
1115061	신월5동	Y
1115062	신월6동	Y
1115063	신월7동	Y
1115064	신정1동	Y
1115065	신정2동	Y
1115066	신정3동	Y
1115072	신정4동	Y
1115072	신정4동	Y
1115069	신정6동	Y
1115070	신정7동	Y
11160	강서구	Y
1116051	염창동	Y
1116052	등촌1동	Y
1116053	등촌2동	Y
1116054	등촌3동	Y
1116055	화곡본동	Y
1116073	화곡1동	Y
1116073	화곡1동	Y
1116057	화곡2동	Y
1116058	화곡3동	Y
1116059	화곡4동	Y
1116074	우장산동	Y
1116074	우장산동	Y
1116061	화곡6동	Y
1116063	화곡8동	Y
1116064	가양1동	Y
1116065	가양2동	Y
1116066	가양3동	Y
1116067	발산1동	Y
1116069	공항동	Y
1116070	방화1동	Y
1116071	방화2동	Y
1116072	방화3동	Y
11170	구로구	Y
1117051	신도림동	Y
1117052	구로1동	Y
1117071	구로2동	Y
1117071	구로2동	Y
1117054	구로3동	Y
1117055	구로4동	Y
1117055	구로4동	Y
1117056	구로5동	Y
1117070	가리봉동	Y
1117070	가리봉동	Y
1117061	고척1동	Y
1117062	고척2동	Y
1117072	개봉1동	Y
1117072	개봉1동	Y
1117064	개봉2동	Y
1117065	개봉3동	Y
1117067	오류1동	Y
1117073	오류2동	Y
1117074	항동	Y
1117069	수궁동	Y
11180	금천구	Y
1118051	가산동	Y
1118052	독산1동	Y
1118053	독산2동	Y
1118054	독산3동	Y
1118054	독산3동	Y
1118055	독산4동	Y
1118057	시흥1동	Y
1118057	시흥1동	Y
1118058	시흥2동	Y
1118059	시흥3동	Y
1118060	시흥4동	Y
1118061	시흥5동	Y
11190	영등포구	Y
1119073	영등포본동	Y
1119073	영등포본동	Y
1119074	영등포동	Y
1119074	영등포동	Y
1119054	여의동	Y
1119055	당산1동	Y
1119056	당산2동	Y
1119075	도림동	Y
1119075	도림동	Y
1119076	문래동	Y
1119076	문래동	Y
1119061	양평1동	Y
1119062	양평2동	Y
1119063	신길1동	Y
1119065	신길3동	Y
1119066	신길4동	Y
1119067	신길5동	Y
1119068	신길6동	Y
1119069	신길7동	Y
1119070	대림1동	Y
1119071	대림2동	Y
1119072	대림3동	Y
11200	동작구	Y
1120072	노량진1동	Y
1120072	노량진1동	Y
1120052	노량진2동	Y
1120053	상도1동	Y
1120053	상도1동	Y
1120054	상도2동	Y
1120055	상도3동	Y
1120056	상도4동	Y
1120071	흑석동	Y
1120071	흑석동	Y
1120071	흑석동	Y
1120073	사당2동	Y
1120073	사당2동	Y
1120063	사당1동	Y
1120065	사당3동	Y
1120066	사당4동	Y
1120067	사당5동	Y
1120068	대방동	Y
1120069	신대방1동	Y
1120070	신대방2동	Y
11210	관악구	Y
1121078	은천동	Y
1121078	은천동	Y
1121052	보라매동	Y
1121079	성현동	Y
1121079	성현동	Y
1121054	청림동	Y
1121080	청룡동	Y
1121080	청룡동	Y
1121057	행운동	Y
1121058	낙성대동	Y
1121061	중앙동	Y
1121062	인헌동	Y
1121063	남현동	Y
1121064	서원동	Y
1121065	신원동	Y
1121066	서림동	Y
1121081	난곡동	Y
1121081	난곡동	Y
1121068	신사동	Y
1121069	신림동	Y
1121082	삼성동	Y
1121082	삼성동	Y
1121071	난향동	Y
1121072	조원동	Y
1121073	대학동	Y
1121083	미성동	Y
1121083	미성동	Y
11220	서초구	Y
1122051	서초1동	Y
1122052	서초2동	Y
1122053	서초3동	Y
